"KDE_BANDWIDTH_SCALE","label","Q","n_minus","n0","n_plus","k_minus","k0","k_plus","deltaD","p_vs_model_scanmax_null","p_vs_fixed_model_null","A_minus","A0","A_plus","any_A_bound_active","success","radial_max","radial_above_0p1","mode"
0.75,"dense_Q_0.635000",0.635,9.525,15,19.05,12.5199702614209,19.7164886006628,25.0399405228418,292.567773861443,0.0001999600079984,0.0001999600079984,0.0990476026359355,0.127643768900989,0.102304112146572,"True","True",0.127643768900989,TRUE,"parity"
0.75,"quark_like",0.63026,9.4539,15,18.9078,12.4265141054538,19.7164886006628,24.8530282109075,284.470533075943,0.0001999600079984,0.0001999600079984,0.0962911221960937,0.127379714639568,0.0998544361078517,"True","True",0.127379714639568,TRUE,"parity"
0.75,"dense_Q_0.630000",0.63,9.45,15,18.9,12.4213878184176,19.7164886006628,24.8427756368352,284.028152149932,0.0001999600079984,0.0001999600079984,0.0961525000515468,0.127377046989594,0.09970342459956,"True","True",0.127377046989594,TRUE,"parity"
0.75,"dense_Q_0.625000",0.625,9.375,15,18.75,12.3228053754143,19.7164886006628,24.6456107508285,276.276523665839,0.0001999600079984,0.0001999600079984,0.0936840055834578,0.127470046314692,0.0969936552039911,"True","True",0.127470046314692,TRUE,"parity"
0.75,"dense_Q_0.620000",0.62,9.3,15,18.6,12.224222932411,19.7164886006628,24.4484458648219,271.012878319283,0.0001999600079984,0.0001999600079984,0.0914617463594214,0.127553018218945,0.0956386810485122,"True","True",0.127553018218945,TRUE,"parity"
0.75,"dense_Q_0.615000",0.615,9.225,15,18.45,12.1256404894076,19.7164886006628,24.2512809788153,268.813627310448,0.0001999600079984,0.0001999600079984,0.0893024247907279,0.127344958455753,0.0962666615488334,"True","True",0.127344958455753,TRUE,"parity"
0.75,"dense_Q_0.610000",0.61,9.15,15,18.3,12.0270580464043,19.7164886006628,24.0541160928087,269.220811177748,0.0001999600079984,0.0001999600079984,0.0871632783129369,0.12689054667635,0.0984895567413926,"True","True",0.12689054667635,TRUE,"parity"
0.75,"dense_Q_0.605000",0.605,9.075,15,18.15,11.928475603401,19.7164886006628,23.856951206802,271.479288583286,0.0001999600079984,0.0001999600079984,0.0851507752022657,0.126491924748177,0.101685890704665,"True","True",0.126491924748177,TRUE,"parity"
0.75,"dense_Q_0.600000",0.6,9,15,18,11.8298931603977,19.7164886006628,23.6597863207954,274.633691438898,0.0001999600079984,0.0001999600079984,0.0834593974589361,0.126590789999918,0.104369845787249,"True","True",0.126590789999918,TRUE,"parity"
0.75,"dense_Q_0.595000",0.595,8.925,15,17.85,11.7313107173944,19.7164886006628,23.4626214347888,277.053100060591,0.0001999600079984,0.0001999600079984,0.0824453579292173,0.127769644229073,0.102026535699368,"True","True",0.127769644229073,TRUE,"parity"
0.75,"dense_Q_0.590000",0.59,8.85,15,17.7,11.6327282743911,19.7164886006628,23.2654565487821,278.330822796426,0.0001999600079984,0.0001999600079984,0.0800298033662824,0.128440000065225,0.109921996804492,"True","True",0.128440000065225,TRUE,"parity"
0.75,"dense_Q_0.585000",0.585,8.775,15,17.55,11.5341458313878,19.7164886006628,23.0682916627755,276.845590042983,0.0001999600079984,0.0001999600079984,0.0782838646513019,0.129930578584752,0.110341899586048,"True","True",0.129930578584752,TRUE,"parity"
0.75,"dense_Q_0.580000",0.58,8.7,15,17.4,11.4355633883844,19.7164886006628,22.8711267767689,271.790368760567,0.0001999600079984,0.0001999600079984,0.0776594760945186,0.131605593592167,0.100000049517535,"True","True",0.131605593592167,TRUE,"parity"
0.75,"dense_Q_0.575000",0.575,8.625,15,17.25,11.3369809453811,19.7164886006628,22.6739618907623,265.281455125244,0.0001999600079984,0.0001999600079984,0.0755660613966099,0.132807888585884,0.105868796936445,"True","True",0.132807888585884,TRUE,"parity"
0.75,"dense_Q_0.570000",0.57,8.55,15,17.1,11.2383985023778,19.7164886006628,22.4767970047556,257.144171752822,0.0001999600079984,0.0001999600079984,0.0748864480784636,0.134474535408081,0.101724977789289,"True","True",0.134474535408081,TRUE,"parity"
