KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
0.75,dense_Q_0.655000,0.655,306.8613103695202,0.0001999600079984003,0.0001999600079984003,6.050255382948363,3.4964455950205995,11.052901539714172,3.9474372190349305
0.75,low_bw_empirical,0.65,306.2506428880688,0.0001999600079984003,0.0001999600079984003,6.049441088979811,3.4823853580954127,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.645000,0.645,304.2879673050734,0.0001999600079984003,0.0001999600079984003,6.048681836645916,3.4712805037739707,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.640000,0.64,299.8680880759357,0.0001999600079984003,0.0001999600079984003,6.052013228580098,3.4780530795258557,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.635000,0.635,292.5677738614427,0.0001999600079984003,0.0001999600079984003,6.060967903565969,3.5047315720620373,11.052901539714172,3.9474372190349305
0.75,quark_like,0.63026,284.47053307594274,0.0001999600079984003,0.0001999600079984003,6.073432461554299,3.5362160405779077,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.630000,0.63,284.0281521499321,0.0001999600079984003,0.0001999600079984003,6.0741767517473315,3.537833250436107,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.625000,0.625,276.2765236658388,0.0001999600079984003,0.0001999600079984003,6.088362802382258,3.5635074197636696,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.620000,0.62,271.01287831928335,0.0001999600079984003,0.0001999600079984003,6.099430756036152,3.5791772813993052,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.615000,0.615,268.8136273104483,0.0001999600079984003,0.0001999600079984003,6.103389659591879,3.5886386896651423,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.610000,0.61,269.2208111777484,0.0001999600079984003,0.0001999600079984003,6.0976619683858955,3.5910891690537468,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.605000,0.605,271.47928858328555,0.0001999600079984003,0.0001999600079984003,6.082625732906041,3.581877742374724,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.600000,0.6,274.63369143889827,0.0001999600079984003,0.0001999600079984003,6.062151084248933,3.563168298357394,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.595000,0.595,277.0531000605906,0.0001999600079984003,0.0001999600079984003,6.042091111295309,3.5458373012009083,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.590000,0.59,278.33082279642576,0.0001999600079984003,0.0001999600079984003,6.027591425121172,3.5379655655588134,11.052901539714172,3.9474372190349305
