"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
-0.455195367587541,0.634324029486483,10,39,34,73,0.284958979033728,-10.8020054694622,15.927718240432,-2.70662201918335
-0.433332767286873,0.648344707994633,14,28,26,54,0.284958979033728,-1.38778486782133,18.384887465525,-0.323661960003462
-0.411470166986204,0.66267529030067,21,40,20,60,0.284958979033728,3.9024612579763,25.8720971839167,0.767225066138433
-0.389607566685535,0.677322626313027,19,33,30,63,0.284958979033728,1.04758432087511,24.1157020431125,0.213323664310406
-0.367744966384867,0.692293717345979,23,37,33,70,0.284958979033728,3.05287146763902,28.6841133812361,0.570016995533871
-0.345882366084198,0.707595719466217,17,30,19,49,0.284958979033728,3.03701002734731,20.9788793668653,0.663063440856208
-0.324019765783529,0.723235946913395,18,45,31,76,0.284958979033728,-3.65688240656335,24.1713230996278,-0.743807894081761
-0.302157165482861,0.739221875596279,17,39,30,69,0.284958979033728,-2.66216955332726,22.6029117615042,-0.559955503421833
-0.280294565182192,0.755561146666173,25,35,26,61,0.284958979033728,7.61750227894257,29.9532988036486,1.39184304420419
-0.258431964881523,0.772261570169333,25,39,27,66,0.284958979033728,6.19270738377393,30.3593069023084,1.12391801660394
-0.236569364580854,0.78933112878011,28,32,38,70,0.284958979033728,8.05287146763902,33.6841133812361,1.38751666209985
-0.214706764280186,0.806777981616602,21,31,34,65,0.284958979033728,2.47766636280766,26.2781052825764,0.483332279580849
-0.192844163979517,0.824610468140655,23,41,40,81,0.284958979033728,-0.0816773017319967,29.5773311982875,-0.0150183385394931
-0.170981563678849,0.842837112144059,26,39,46,85,0.284958979033728,1.77848678213309,32.9021376772153,0.310054889281548
-0.14911896337818,0.861466625822859,23,50,31,81,0.284958979033728,-0.0816773017319967,29.5773311982875,-0.0150183385394931
-0.127256363077511,0.880507913941711,19,44,30,74,0.284958979033728,-2.0869644484959,25.0089198601639,-0.417318447894711
-0.105393762776842,0.899970078090297,23,50,41,91,0.284958979033728,-2.93126709206928,30.389347395607,-0.531734336411476
-0.0835311624761739,0.919862421033814,24,40,34,74,0.284958979033728,2.9130355515041,30.0089198601639,0.531766045353788
-0.0616685621755051,0.940194451159623,25,54,41,95,0.284958979033728,-2.07110300820419,32.7141538745348,-0.362104442830941
-0.0398059618748363,0.960975887022186,23,51,38,89,0.284958979033728,-2.36134913400182,30.2269441561431,-0.429499914786309
-0.0179433615741675,0.98221666198846,33,48,39,87,0.284958979033728,8.20856882406563,40.0645409166792,1.29684286956405
0.00391923872650102,1.00392692898597,22,57,42,99,0.284958979033728,-6.21093892433911,30.0389603534625,-1.13322151095706
0.0257818390271696,1.02611706535583,43,53,48,101,0.284958979033728,14.2191431175934,51.2013635929264,1.98715920054033
0.0476444393278384,1.04879767781305,49,63,57,120,0.284958979033728,14.8049225159526,58.7441943678334,1.93162875873816
0.0695070396285071,1.07197960751641,26,35,57,92,0.284958979033728,-0.216226071103009,33.4705490153389,-0.0373746073766321
