veto_label,region,active_intervals,delta_ell_A,n1,n2,n3,k1,k2,k3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,mean_deltaD,score
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,14.992337918517771,17.03317972941548,11.04,19.1,21.700000000000003,172.60162245692163,366.74036122747475,279.6729506656375,0.5780104712041885,0.5680628272251309,0.5730366492146597,0.13259954052142597,3.2530542851648674,273.00497811667793,53.23548328504458
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,14.992337918517771,16.012758823966625,12.36,19.1,20.4,238.74676663009495,366.74036122747475,328.9053818046218,0.6471204188481674,0.5340314136125655,0.5905759162303664,0.13406776703036283,3.998380362399426,311.4641698873972,58.203575696314516
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,16.012758823966625,17.03317972941548,13.8,20.4,21.700000000000003,180.459760791382,328.9053818046218,279.6729506656375,0.6764705882352942,0.5318627450980392,0.6041666666666667,0.13515995763688463,3.2434848316346505,263.01269775388045,50.6780883165515
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,10.8321603809186,13.924820663586665,11.04,13.8,17.740000000000002,172.60162245692163,180.459760791382,307.2428258783066,0.7999999999999999,0.6427536231884059,0.721376811594203,0.1354607375816733,7.487253970365492,220.1014030422034,35.16933991821363
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,10.8321603809186,14.992337918517771,11.04,13.8,19.1,172.60162245692163,180.459760791382,366.74036122747475,0.7999999999999999,0.6920289855072463,0.7460144927536232,0.13572407669514278,6.650402060739274,239.93391482525945,39.621153366958794
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,13.924820663586665,14.992337918517771,11.04,17.740000000000002,19.1,172.60162245692163,307.2428258783066,366.74036122747475,0.6223224351747462,0.5383314543404735,0.5803269447576098,0.13578047572982688,5.292728132499421,282.19493652090097,49.35467693004554
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,16.012758823966625,23.17140394526935,11.04,20.4,29.52,172.60162245692163,328.9053818046218,219.23688665845475,0.5411764705882353,0.7235294117647059,0.6323529411764706,0.1377721346713033,3.586609035896988,240.2479636399994,44.98220552168612
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,14.992337918517771,23.17140394526935,11.04,19.1,29.52,172.60162245692163,366.74036122747475,219.23688665845475,0.5780104712041885,0.7727748691099476,0.675392670157068,0.13827100787809943,3.4406602053019277,252.85962344761705,47.557356607404486
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,17.03317972941548,18.05360063486433,13.8,21.700000000000003,23.0,180.459760791382,279.6729506656375,164.88386125612487,0.6359447004608295,0.5299539170506912,0.5829493087557603,0.14012214355737282,2.9350947514990255,208.33885757104812,39.783412084958805
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,4.976514261958255,8.665728304734879,9.701847993344483,6.34,11.04,12.36,203.68019153397563,172.60162245692163,238.74676663009495,0.5742753623188406,0.5597826086956521,0.5670289855072463,0.1412811203503278,13.092377233410621,205.00952687366407,26.266023586104485
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,14.992337918517771,24.254619983361213,12.36,19.1,30.900000000000002,238.74676663009495,366.74036122747475,193.89722413297432,0.6471204188481674,0.8089005235602095,0.7280104712041884,0.14357063018108895,4.265060905706028,266.46145066351465,47.11519600208775
