A_MAX,region,branch_label,branch_class,n_values,k_values,N_events,D_base,D_branch,deltaD,deltaD_per_event,p_fixed_branch,null_mean,null_std,null_95,null_99,A1,amps,max_amp,phases,coef_bound_active,amp_bound_active,bound_active,success_base,success_branch,branch_rank_by_deltaD
0.025,signal_B_signal_Kst,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",15630,1979.3038377027306,1820.3452893398178,158.95854836291278,0.010170092665573434,0.000999000999000999,6.000351997900026,3.3775651401215456,12.62192173489906,15.06832641575977,0.0273584962763898,"[0.03535533905932738, 0.029409836389073168, 0.027824506036405607]",0.03535533905932738,"[-0.7853981633974483, -2.1255015537775837, -0.45448200483283824]",True,True,True,True,True,5
0.1,B_high_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",25850,2612.339799783642,2077.29053272928,535.0492670543617,0.020698230833824438,0.000999000999000999,5.900880180011132,3.3480487247734625,12.064572415656304,15.735468964648694,0.07081740467134895,"[0.1363497088404084, 0.08960567565524677, 0.1027372659841982]",0.1363497088404084,"[-0.8233221618786488, -1.4044941638041795, -0.38936439822407426]",True,False,True,True,True,1
0.1,B_high_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",25850,2612.339799783642,2091.163038476488,521.1767613071538,0.020161576839735157,0.000999000999000999,6.203997061338177,3.569420520945593,12.608044517885029,17.601922686854586,0.07081740467134895,"[0.13879591213947878, 0.1156711554356286, 0.09358170854393627]",0.13879591213947878,"[-0.7662987536344078, 2.097398574184102, -1.9835655342066723]",True,False,True,True,True,2
0.1,B_high_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",25850,2612.339799783642,2099.277133152828,513.062666630814,0.019847685362894156,0.000999000999000999,5.997430032555643,3.509668186581594,13.28659234430241,17.830120360821585,0.07081740467134895,"[0.10330283775668474, 0.11259694037279742, 0.08658763450571523]",0.11259694037279742,"[-0.2535516576925559, -2.6640426126256456, 1.28499337633643]",True,False,True,True,True,3
0.1,B_high_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",25850,2612.339799783642,2112.428696415849,499.91110336779275,0.01933892082660707,0.000999000999000999,5.986721662253805,3.392401023812324,12.928907592316335,16.45000192129858,0.07081740467134895,"[0.11070648959062611, 0.08830135278031431, 0.098314662164169]",0.11070648959062611,"[-1.1273757466416199, -0.5757507044603817, -0.8307284516607231]",True,False,True,True,True,4
0.1,B_high_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",25850,2612.339799783642,2183.7223462158217,428.6174535678201,0.01658094597941277,0.000999000999000999,6.073753070263436,3.5105900261200977,12.786437726963728,18.05300319058326,0.07081740467134895,"[0.07633387902285671, 0.08874431374405461, 0.11222970088194967]",0.11222970088194967,"[1.5807171190363103, 1.777086724622241, 1.099608545044087]",True,False,True,True,True,5
0.075,B_high_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",25850,2612.339799784408,2118.251582484452,494.08821729995634,0.019113664112183997,0.000999000999000999,5.8684277221640055,3.4797082232442795,12.27758944377736,17.077423134648054,0.0708177230097783,"[0.10606601717798213, 0.07580521693937832, 0.08396046795367573]",0.10606601717798213,"[-0.7853981633974483, -1.424912521827841, -0.4662117420370954]",True,True,True,True,True,1
0.075,B_high_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",25850,2612.339799784408,2127.4995578328367,484.84024195157144,0.01875590877955789,0.000999000999000999,5.979654129701659,3.361587806564784,12.510029976509173,15.606058205160489,0.0708177230097783,"[0.10606601717798213, 0.09116976847133804, 0.0842706634573244]",0.10606601717798213,"[-0.7853981633974483, 2.175551862427601, -2.0442706585062753]",True,True,True,True,True,2
0.075,B_high_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",25850,2612.339799784408,2155.6253688100255,456.7144309743826,0.017667869670188883,0.000999000999000999,6.065769928891101,3.542156129886289,12.784004043719374,15.698036576933895,0.0708177230097783,"[0.0886863006673915, 0.08672467354843794, 0.1015035377952043]",0.1015035377952043,"[-1.0078331557579236, -0.643372314526989, -0.8071733345006135]",True,False,True,True,True,3
0.075,B_high_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",25850,2612.339799784408,2155.677714955865,456.6620848285429,0.017665844674218296,0.000999000999000999,6.053729028578472,3.529771622206912,12.826285838034288,16.125499364623828,0.0708177230097783,"[0.07822342742354936, 0.08839999590944908, 0.07976531925256056]",0.08839999590944908,"[-0.28807680239353384, -2.583782564333522, 1.2233880594520599]",True,False,True,True,True,4
0.075,B_high_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",25850,2612.339799784408,2224.925586031779,387.41421375262917,0.014987010203196486,0.000999000999000999,6.084329355210417,3.5544816800770715,12.538821721561145,16.866796133424614,0.0708177230097783,"[0.07505571669960712, 0.0780895756755498, 0.09078150006191622]",0.09078150006191622,"[1.5322624529782278, 1.853030939161356, 0.9722570390848905]",True,False,True,True,True,5
0.05,B_high_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",25850,2616.8646091082096,2223.471430119465,393.3931789887447,0.015218304796469814,0.000999000999000999,5.9570301678241675,3.255344161752376,12.299934030226762,15.417687972596603,0.05080223523770625,"[0.07071067811865477, 0.05045114273045129, 0.06269241553631835]",0.07071067811865477,"[-0.7853981633974483, -1.4369641210785857, -0.6475822822788206]",True,True,True,True,True,1
