mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
175,801.845971678985,-129.59382141780603,0.0,1.0,2.0,133.59382141780603,135.1389988622856,False,False,True,False,False,False
176,808.7720837228387,-182.5425187807964,0.0,1.0,2.0,186.5425187807964,188.08769622527598,False,False,True,False,False,False
177,850.8258099036623,-139.29833614162064,0.0,1.0,2.0,143.29833614162064,144.84351358610022,False,False,True,False,False,False
178,783.5307884637979,-156.08502537912855,0.0,1.0,2.0,160.08502537912855,161.63020282360813,False,False,True,False,False,False
179,829.3097426514212,-148.97847206226885,0.0,1.0,2.0,152.97847206226885,154.52364950674843,False,False,True,False,False,False
180,842.0797544213464,-106.57791228925285,0.0,1.0,2.0,110.57791228925285,112.12308973373243,False,False,True,False,False,False
181,807.460293363398,-168.84778390502592,0.0,1.0,2.0,172.84778390502592,174.3929613495055,False,False,True,False,False,False
182,797.8936694224444,-196.94515067211046,0.0,1.0,2.0,200.94515067211046,202.49032811659004,False,False,True,False,False,False
183,809.6377664437957,-148.14575926039203,0.0,1.0,2.0,152.14575926039203,153.6909367048716,False,False,True,False,False,False
184,868.0344512095498,-179.8115175384152,0.0,1.0,2.0,183.81151753841522,185.35669498289477,False,False,True,False,False,False
185,666.8464270791034,-163.89674415134132,0.0,1.0,2.0,167.89674415134132,169.4419215958209,False,False,True,False,False,False
186,912.1866074688045,-118.46199204777146,0.0,1.0,2.0,122.46199204777146,124.00716949225104,False,False,True,False,False,False
187,734.3644630600525,-152.45247701232202,0.0,1.0,2.0,156.45247701232202,157.9976544568016,False,False,True,False,False,False
188,809.1917445893598,-167.16773133600765,0.0,1.0,2.0,171.16773133600765,172.71290878048723,False,False,True,False,False,False
189,827.2123567787737,-167.13086128604672,0.0,1.0,2.0,171.13086128604672,172.6760387305263,False,False,True,False,False,False
190,692.7184559774561,-147.4116336994601,0.0,1.0,2.0,151.4116336994601,152.9568111439397,False,False,True,False,False,False
191,798.7740202340127,-118.24293489649355,0.0,1.0,2.0,122.24293489649355,123.78811234097313,False,False,True,False,False,False
192,875.589209193013,-172.01393207726414,0.0,1.0,2.0,176.01393207726414,177.55910952174372,False,False,True,False,False,False
193,778.1502496909794,-154.91542471671897,0.0,1.0,2.0,158.91542471671897,160.46060216119855,False,False,True,False,False,False
194,765.9619926632962,-151.33036898225814,0.0,1.0,2.0,155.3303689822581,156.87554642673769,False,False,True,False,False,False
195,768.7523973298582,-149.67497632910013,0.0,1.0,2.0,153.67497632910013,155.2201537735797,False,False,True,False,False,False
196,758.1752791904227,-142.16744774427008,0.0,1.0,2.0,146.16744774427008,147.71262518874966,False,False,True,False,False,False
197,796.5220429550129,-131.81831181959888,0.0,1.0,2.0,135.81831181959888,137.36348926407845,False,False,True,False,False,False
198,766.6719206471666,-127.16440101417851,0.0,1.0,2.0,131.1644010141785,132.7095784586581,False,False,True,False,False,False
199,872.456034749958,-130.96407968917924,0.0,1.0,2.0,134.96407968917924,136.50925713365882,False,False,True,False,False,False
